,pre,pre.1,post,sp_trans_p,treatment
274,505,505,609,0.0013485452435891,a5ia
275,514,514,603,0.0001784164708118,a5ia
276,517,517,554,5.615174624329367e-05,a5ia
277,546,546,550,0.0010984900564551,a5ia
278,546,546,571,0.0001046444179585,a5ia
279,549,549,600,0.0074533767367465,a5ia
280,550,550,584,0.0036403680657073,a5ia
281,551,551,589,0.0059678216933528,a5ia
282,554,554,572,0.0013740510561632,a5ia
283,554,554,578,0.0016874761166569,a5ia
284,558,558,581,0.0022722514825928,a5ia
285,564,564,567,0.0003701784003348,a5ia
286,564,564,589,0.0051849728813398,a5ia
287,564,564,590,0.0034643115806725,a5ia
288,570,570,580,0.0050139604942264,a5ia
289,571,571,594,0.0096261436442992,a5ia
290,574,574,581,0.0070674418103775,a5ia
291,576,576,603,0.011044859883003,a5ia
292,579,579,598,0.0009056021138226,a5ia
293,603,603,608,0.0096268759459632,a5ia
294,3,3,381,0.0014941273955413,ctr
295,3,3,398,0.0014103827858592,ctr
296,9,9,210,0.0007116062378505,ctr
297,9,9,568,0.0020169144284915,ctr
298,10,10,251,0.0009309782471041,ctr
299,10,10,322,0.0001000959648402,ctr
300,10,10,429,0.0012995496073968,ctr
301,10,10,603,0.0019676622754218,ctr
302,12,12,40,0.0005703699897783,ctr
303,12,12,425,0.0012521872102056,ctr
304,12,12,572,0.0039299977902471,ctr
305,12,12,581,0.0032765912860807,ctr
306,17,17,29,6.811119967440812e-05,ctr
307,17,17,155,0.0004483244824342,ctr
308,17,17,501,0.0007645972410388,ctr
309,24,24,467,0.010641161830578,ctr
310,24,24,594,0.0139828637055986,ctr
311,27,27,88,0.0085494909079135,ctr
312,27,27,393,0.0086203686180261,ctr
313,29,29,556,0.0026137409401929,ctr
314,34,34,251,0.0005717435625512,ctr
315,34,34,493,0.0006999466806382,ctr
316,40,40,157,0.0012956185493633,ctr
317,40,40,301,0.0014447017135464,ctr
318,40,40,430,0.0010628100034,ctr
319,40,40,439,0.0021994091011265,ctr
320,40,40,590,0.0022359903376785,ctr
321,40,40,603,0.0048816399728142,ctr
322,41,41,73,0.0004320009211295,ctr
323,41,41,551,0.0005601272612822,ctr
324,41,41,554,0.0015668470784383,ctr
325,44,44,140,0.0012031672247203,ctr
326,44,44,155,0.0035619031293106,ctr
327,44,44,206,0.0006147134196753,ctr
328,44,44,448,0.0002295943317201,ctr
329,44,44,501,0.0013209163485963,ctr
330,52,52,68,0.002354358315785,ctr
331,52,52,99,0.0017259883294439,ctr
332,52,52,109,0.0009168447066349,ctr
333,52,52,319,0.0015208473505095,ctr
334,52,52,402,6.338002402687254e-05,ctr
335,52,52,454,0.0013248179302793,ctr
336,52,52,478,0.0001557066046914,ctr
337,52,52,548,0.0030762262251918,ctr
338,52,52,553,0.0005762980245582,ctr
339,52,52,556,0.0005728357972056,ctr
340,54,54,264,0.0061394632377529,ctr
341,54,54,558,0.0035077525106074,ctr
342,58,58,514,0.0002819203509322,ctr
343,59,59,578,0.0021322624506943,ctr
344,62,62,264,0.0019443868218831,ctr
